img;score
Aaron_Eckhart\Aaron_Eckhart_0001.jpg_0.jpg;[0.3801252]
Aaron_Guiel\Aaron_Guiel_0001.jpg_0.jpg;[0.31744176]
Aaron_Patterson\Aaron_Patterson_0001.jpg_0.jpg;[0.53218627]
Aaron_Patterson\Aaron_Patterson_0001.jpg_1.jpg;[0.16069412]
Aaron_Peirsol\Aaron_Peirsol_0001.jpg_0.jpg;[0.38271302]
Aaron_Peirsol\Aaron_Peirsol_0002.jpg_0.jpg;[0.3982463]
Aaron_Peirsol\Aaron_Peirsol_0003.jpg_0.jpg;[0.34142452]
Aaron_Peirsol\Aaron_Peirsol_0004.jpg_0.jpg;[0.2735973]
Aaron_Pena\Aaron_Pena_0001.jpg_0.jpg;[0.46059018]
Aaron_Sorkin\Aaron_Sorkin_0001.jpg_0.jpg;[0.25135627]
Aaron_Sorkin\Aaron_Sorkin_0002.jpg_0.jpg;[0.38136107]
Aaron_Tippin\Aaron_Tippin_0001.jpg_0.jpg;[0.3432964]
Abbas_Kiarostami\Abbas_Kiarostami_0001.jpg_0.jpg;[0.30303547]
Abba_Eban\Abba_Eban_0001.jpg_0.jpg;[0.35881287]
Abdel_Aziz_Al-Hakim\Abdel_Aziz_Al-Hakim_0001.jpg_0.jpg;[0.3060671]
Abdel_Aziz_Al-Hakim\Abdel_Aziz_Al-Hakim_0001.jpg_1.jpg;[0.3062715]
Abdel_Madi_Shabneh\Abdel_Madi_Shabneh_0001.jpg_0.jpg;[0.18137187]
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0001.jpg_0.jpg;[0.5238244]
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0001.jpg_1.jpg;[0.17038271]
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0001.jpg_2.jpg;[0.18309891]
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0002.jpg_0.jpg;[0.6832092]
Abdoulaye_Wade\Abdoulaye_Wade_0001.jpg_0.jpg;[0.58406436]
Abdoulaye_Wade\Abdoulaye_Wade_0002.jpg_0.jpg;[0.61037433]
Abdoulaye_Wade\Abdoulaye_Wade_0003.jpg_0.jpg;[0.3270743]
Abdoulaye_Wade\Abdoulaye_Wade_0004.jpg_0.jpg;[0.59589165]
Abdulaziz_Kamilov\Abdulaziz_Kamilov_0001.jpg_0.jpg;[0.19062501]
Abdulaziz_Kamilov\Abdulaziz_Kamilov_0001.jpg_1.jpg;[0.3796476]
Abdullah\Abdullah_0001.jpg_0.jpg;[0.5327995]
Abdullah\Abdullah_0002.jpg_0.jpg;[0.47329074]
Abdullah\Abdullah_0003.jpg_0.jpg;[0.53444237]
Abdullah\Abdullah_0004.jpg_0.jpg;[0.57311696]
Abdullah_Ahmad_Badawi\Abdullah_Ahmad_Badawi_0001.jpg_0.jpg;[0.562315]
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.jpg_0.jpg;[0.5366839]
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.jpg_0.jpg;[0.44108737]
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.jpg_0.jpg;[0.400168]
Abdullah_Gul\Abdullah_Gul_0001.jpg_0.jpg;[0.48017168]
Abdullah_Gul\Abdullah_Gul_0002.jpg_0.jpg;[0.31023133]
Abdullah_Gul\Abdullah_Gul_0003.jpg_0.jpg;[0.3688828]
Abdullah_Gul\Abdullah_Gul_0004.jpg_0.jpg;[0.41906166]
Abdullah_Gul\Abdullah_Gul_0005.jpg_0.jpg;[0.41469517]
Abdullah_Gul\Abdullah_Gul_0006.jpg_0.jpg;[0.336326]
Abdullah_Gul\Abdullah_Gul_0006.jpg_1.jpg;[0.4610451]
