img;score
u11001\u11001s0001_fa1.png;[0.5156033]
u11001\u11001s0001_fa2.png;[0.47509545]
u11001\u11001s0001_fa3.png;[0.50716853]
u11001\u11001s0001_fa4.png;[0.50625956]
u11001\u11001s0001_fc1.png;[0.45267028]
u11001\u11001s0001_fc2.png;[0.4829614]
u11001\u11001s0001_fc3.png;[0.45929813]
u11001\u11001s0001_fc4.png;[0.4685384]
u11001\u11001s0002_fa1.png;[0.5145328]
u11001\u11001s0002_fa2.png;[0.49611178]
u11001\u11001s0002_fa3.png;[0.493082]
u11001\u11001s0002_fa4.png;[0.48257175]
u11001\u11001s0002_fc1.png;[0.43275526]
u11001\u11001s0002_fc2.png;[0.45218477]
u11001\u11001s0002_fc3.png;[0.39795572]
u11001\u11001s0002_fc4.png;[0.42454696]
u11002\u11002s0001_fa1.png;[0.3673278]
u11002\u11002s0001_fa2.png;[0.3507958]
u11002\u11002s0001_fa3.png;[0.40692443]
u11002\u11002s0001_fa4.png;[0.37387723]
u11002\u11002s0001_fc1.png;[0.48554388]
u11002\u11002s0001_fc2.png;[0.48118448]
u11002\u11002s0001_fc3.png;[0.4549273]
u11002\u11002s0001_fc4.png;[0.4606308]
u11002\u11002s0002_fa1.png;[0.4024005]
u11002\u11002s0002_fa2.png;[0.40498883]
u11002\u11002s0002_fa3.png;[0.39807045]
u11002\u11002s0002_fa4.png;[0.3714437]
u11002\u11002s0002_fc1.png;[0.48118448]
u11002\u11002s0002_fc2.png;[0.48554388]
u11002\u11002s0002_fc3.png;[0.4606308]
u11002\u11002s0002_fc4.png;[0.4549273]
u11003\u11003s0001_fa1.png;[0.30415276]
u11003\u11003s0001_fa2.png;[0.33136252]
u11003\u11003s0001_fa3.png;[0.34392923]
u11003\u11003s0001_fa4.png;[0.33891726]
u11003\u11003s0001_fc1.png;[0.33200312]
u11003\u11003s0001_fc2.png;[0.26492405]
u11003\u11003s0001_fc3.png;[0.3330714]
u11003\u11003s0001_fc4.png;[0.3504098]
u11003\u11003s0002_fa1.png;[0.23875803]
u11003\u11003s0002_fa2.png;[0.243307]
u11003\u11003s0002_fa3.png;[0.29553536]
u11003\u11003s0002_fa4.png;[0.26520577]
u11003\u11003s0002_fc1.png;[0.26492405]
u11003\u11003s0002_fc2.png;[0.33200312]
u11003\u11003s0002_fc3.png;[0.3330714]
u11003\u11003s0002_fc4.png;[0.3504098]
u11004\u11004s0001_fa1.png;[0.1822164]
u11004\u11004s0001_fa2.png;[0.23185843]
u11004\u11004s0001_fa3.png;[0.22708935]
u11004\u11004s0001_fa4.png;[0.2593036]
u11004\u11004s0001_fc1.png;[0.31820223]
u11004\u11004s0001_fc2.png;[0.2912933]
u11004\u11004s0001_fc3.png;[0.24048308]
u11004\u11004s0001_fc4.png;[0.17965478]
