img;score
000001\000001.png;[0.37169954]
000001\000002.png;[0.3903337]
000001\000003.png;[0.4323669]
000001\000004.png;[0.27078506]
000001\000005.png;[0.33707768]
000001\000006.png;[0.38242728]
000002\000001.png;[0.44421482]
000002\000002.png;[0.35165024]
000002\000003.png;[0.46053717]
000002\000004.png;[0.5074303]
000002\000005.png;[0.44108212]
000002\000006.png;[0.38333687]
000002\000007.png;[0.5358725]
000003\000001.png;[0.3816927]
000003\000002.png;[0.40719676]
000003\000003.png;[0.43649152]
000003\000004.png;[0.339324]
000003\000005.png;[0.31719542]
000003\000006.png;[0.3733592]
000003\000007.png;[0.4111684]
000003\000008.png;[0.34918994]
000003\000009.png;[0.35715014]
000003\000010.png;[0.39539802]
000003\000011.png;[0.370961]
000003\000012.png;[0.31815866]
000003\000013.png;[0.39548203]
000003\000014.png;[0.35753828]
000004\000001.png;[0.25870255]
000004\000002.png;[0.29443702]
000004\000003.png;[0.32786527]
000004\000004.png;[0.29440004]
000005\000001.png;[0.21454924]
000005\000002.png;[0.24413636]
000005\000003.png;[0.29382154]
000005\000004.png;[0.17394978]
000005\000005.png;[0.27643976]
000006\000001.png;[0.30916628]
000006\000002.png;[0.32210532]
000006\000003.png;[0.35366523]
000006\000004.png;[0.40802652]
000007\000001.png;[0.32107273]
000007\000002.png;[0.21681821]
000007\000003.png;[0.25318623]
000007\000004.png;[0.32085097]
000007\000005.png;[0.2633878]
000007\000006.png;[0.36007982]
000007\000007.png;[0.3317213]
000007\000008.png;[0.32909024]
000008\000001.png;[0.14719641]
000008\000002.png;[0.12578604]
000008\000003.png;[0.17510778]
000008\000004.png;[0.14570343]
000008\000005.png;[0.23671633]
000008\000006.png;[0.24920714]
000008\000007.png;[0.3766117]
000008\000008.png;[0.42513305]
000008\000009.png;[0.41317052]
000009\000001.png;[0.263278]
000009\000002.png;[0.2609753]
000009\000003.png;[0.25072765]
000009\000004.png;[0.2869917]
000009\000005.png;[0.12955782]
000009\000006.png;[0.23264045]
000009\000007.png;[0.14872032]
000009\000008.png;[0.25402778]
000009\000009.png;[0.22809309]
000009\000011.png;[0.25076446]
000009\000012.png;[0.25136626]
000009\000013.png;[0.26696312]
000010\000001.png;[0.23853397]
000010\000002.png;[0.37916663]
000010\000003.png;[0.37355286]
000010\000004.png;[0.39029956]
000010\000005.png;[0.4356017]
000010\000006.png;[0.505893]
000010\000007.png;[0.20884958]
000010\000008.png;[0.46143794]
000010\000009.png;[0.48424983]
000010\000010.png;[0.48822784]
000010\000011.png;[0.3433985]
000010\000012.png;[0.38062793]
000010\000013.png;[0.47863632]
000011\000001.png;[0.25256157]
000011\000002.png;[0.2898162]
000011\000003.png;[0.29101688]
000011\000004.png;[0.32760248]
000011\000005.png;[0.2944776]
000011\000006.png;[0.344779]
000012\000001.png;[0.3312052]
000012\000002.png;[0.45890146]
000012\000003.png;[0.44949526]
000012\000004.png;[0.40107906]
000012\000005.png;[0.3114593]
000012\000006.png;[0.3544575]
000012\000007.png;[0.35749835]
000012\000008.png;[0.3854614]
000012\000009.png;[0.33831817]
000012\000010.png;[0.2518371]
000012\000011.png;[0.41389573]
000012\000012.png;[0.37145284]
000012\000013.png;[0.4534688]
000012\000014.png;[0.34402913]
000012\000015.png;[0.35896412]
000012\000016.png;[0.2918021]
000012\000017.png;[0.30051666]
000013\000001.png;[0.33612475]
000013\000002.png;[0.40958583]
000013\000003.png;[0.5255445]
000013\000004.png;[0.40417922]
000014\000001.png;[0.3751216]
000014\000002.png;[0.3692116]
000014\000003.png;[0.29301006]
000014\000004.png;[0.39364344]
000014\000005.png;[0.27793902]
000014\000006.png;[0.42447084]
000015\000001.png;[0.25319922]
000015\000002.png;[0.3470794]
000015\000003.png;[0.29554296]
000015\000004.png;[0.4506519]
000015\000005.png;[0.35288668]
000015\000006.png;[0.4023173]
000015\000007.png;[0.3598152]
000015\000008.png;[0.31953865]
000015\000009.png;[0.34999558]
000015\000010.png;[0.3944521]
000015\000011.png;[0.31662163]
000015\000012.png;[0.34589738]
000015\000013.png;[0.32083058]
000015\000014.png;[0.32714948]
000015\000015.png;[0.31177676]
000015\000016.png;[0.34167865]
000015\000017.png;[0.31818244]
000015\000018.png;[0.3188933]
000015\000019.png;[0.25724515]
000015\000020.png;[0.40374556]
000015\000021.png;[0.1616492]
000015\000022.png;[0.2910423]
000015\000023.png;[0.38854814]
000015\000024.png;[0.30915865]
000015\000025.png;[0.32135376]
000015\000026.png;[0.375619]
000015\000027.png;[0.03586584]
000015\000028.png;[0.35793102]
000015\000029.png;[0.39208505]
000015\000030.png;[0.22716483]
000015\000031.png;[0.24818805]
000015\000032.png;[0.2928117]
000015\000033.png;[0.2709722]
000015\000034.png;[0.3472705]
000016\000001.png;[0.5235219]
000016\000002.png;[0.4295687]
000016\000003.png;[0.4341789]
000016\000004.png;[0.43877435]
000016\000005.png;[0.5177811]
000016\000006.png;[0.47221795]
000017\000001.png;[0.31188616]
000017\000002.png;[0.3243651]
000017\000003.png;[0.36022636]
000017\000004.png;[0.36311907]
000017\000005.png;[0.36516073]
000017\000006.png;[0.36241192]
000017\000007.png;[0.34682053]
000017\000008.png;[0.3470123]
000017\000009.png;[0.18635711]
000018\000001.png;[0.28930056]
000018\000002.png;[0.25176716]
000018\000003.png;[0.33055112]
000018\000004.png;[0.28948674]
000018\000005.png;[0.314178]
000018\000006.png;[0.40341622]
000018\000007.png;[0.250313]
000018\000008.png;[0.33954504]
000018\000009.png;[0.2990687]
000018\000010.png;[0.29172504]
000019\000001.png;[0.38729656]
000019\000002.png;[0.32039812]
000019\000003.png;[0.43134683]
000019\000004.png;[0.376183]
000019\000005.png;[0.4798615]
000019\000006.png;[0.30133584]
000020\000001.png;[0.27061397]
000020\000002.png;[0.28460565]
000020\000003.png;[0.31101146]
000020\000004.png;[0.40988088]
000020\000005.png;[0.42270046]
000020\000006.png;[0.35034382]
000020\000007.png;[0.42529166]
000020\000008.png;[0.33004236]
000020\000009.png;[0.4021335]
000020\000010.png;[0.38752586]
000020\000011.png;[0.2913076]
000020\000012.png;[0.38497487]
000020\000013.png;[0.43584585]
000020\000014.png;[0.3147502]
000021\000001.png;[0.38986945]
000021\000002.png;[0.33814844]
000021\000003.png;[0.33821964]
000021\000004.png;[0.39479417]
000021\000005.png;[0.362073]
000021\000006.png;[0.4026504]
000021\000007.png;[0.31338507]
000021\000008.png;[0.5231859]
000021\000009.png;[0.53664863]
000021\000010.png;[0.36831594]
000021\000011.png;[0.36883956]
000021\000012.png;[0.34547848]
000021\000013.png;[0.34996063]
000022\000001.png;[0.38627622]
000022\000002.png;[0.37907106]
000022\000003.png;[0.4129113]
000022\000004.png;[0.39137548]
000022\000005.png;[0.35493284]
000022\000006.png;[0.39481273]
000022\000007.png;[0.2843043]
000022\000008.png;[0.31963336]
000022\000009.png;[0.34533083]
000022\000010.png;[0.45629948]
000022\000011.png;[0.4375531]
000022\000012.png;[0.37377816]
000022\000013.png;[0.24342623]
000022\000014.png;[0.33227378]
000023\000001.png;[0.39744544]
000023\000002.png;[0.45640677]
000023\000003.png;[0.42646205]
